Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,latent
KEGG_2021_Human,Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell (GO:0002842),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,HSPD1,Latent_16
KEGG_2021_Human,Immunoglobulin V(D)J Recombination (GO:0033152),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,PRKDC,Latent_16
KEGG_2021_Human,Negative Regulation Of Translation (GO:0017148),2/107,0.0050591983954509,0.0302679628141634,0,0,21.03174603174603,111.18531868631156,NCL;YBX1,Latent_16
GO_Biological_Process_2023,rRNA Processing (GO:0006364),2/101,0.0045213816583109,0.0302679628141634,0,0,22.31313131313131,120.46720485255872,PRKDC;RPL14,Latent_16
GO_Biological_Process_2023,"CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)",1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,HMGB1,Latent_16
GO_Biological_Process_2023,Negative Regulation Of Histone Acetylation (GO:0035067),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,SET,Latent_16
GO_Biological_Process_2023,tRNA Transport (GO:0051031),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,YBX1,Latent_16
GO_Biological_Process_2023,Regulation Of T-Circle Formation (GO:1904429),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,XRCC5,Latent_16
GO_Biological_Process_2023,Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell (GO:0002842),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,HSPD1,Latent_16
GO_Biological_Process_2023,Immunoglobulin V(D)J Recombination (GO:0033152),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,PRKDC,Latent_16
GO_Biological_Process_2023,Negative Regulation Of Translation (GO:0017148),2/107,0.0050591983954509,0.0302679628141634,0,0,21.03174603174603,111.18531868631156,NCL;YBX1,Latent_16
KEGG_2021_Human,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),2/109,0.005244730259552,0.0308461254248232,0,0,20.63655244029076,108.3528679492363,HMGB1;HSPD1,Latent_16
